2025-06-20 05:06:30 [INFO] 🚀 Программа запущена
2025-06-20 05:06:31 [INFO] /mainwindow отображено
2025-06-20 05:06:31 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:31 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:32 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:32 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:33 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:33 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:34 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:34 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:06:35 [INFO] 📸 Обновление превью: X=1980, Y=1320, W=82, H=83
2025-06-20 05:06:35 [INFO] 📸 Обновление превью: X=1980, Y=1320, W=82, H=83
2025-06-20 05:06:36 [INFO] 📸 Обновление превью: X=1980, Y=1320, W=82, H=83
2025-06-20 05:06:36 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:37 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:37 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:38 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:38 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:39 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:39 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:40 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:06:40 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
