2025-06-20 05:11:37 [INFO] 🚀 Программа запущена
2025-06-20 05:11:38 [INFO] /mainwindow отображено
2025-06-20 05:11:38 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:38 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:39 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:39 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:40 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:40 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:41 [WARNING] ⚠️ Некорректные данные ввода: не числа
2025-06-20 05:11:41 [INFO] 📸 Обновление превью: X=1602, Y=1320, W=82, H=83
2025-06-20 05:11:42 [INFO] 📸 Обновление превью: X=1602, Y=1320, W=82, H=83
2025-06-20 05:11:42 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:43 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:43 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:44 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:44 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:45 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:45 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:46 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:46 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
2025-06-20 05:11:47 [INFO] 📸 Обновление превью: X=17, Y=245, W=318, H=90
